id,airport_ref,airport_ident,length_ft,width_ft,surface,lighted,closed,le_ident,le_latitude_deg,le_longitude_deg,le_elevation_ft,le_heading_degT,le_displaced_threshold_ft,he_ident,he_latitude_deg,he_longitude_deg,he_elevation_ft,he_heading_degT,he_displaced_threshold_ft
232758,6402,TNCA,9000,148,ASP,1,0,11,12.504400253295898,-70.02749633789062,12,103.6,,29,12.49839973449707,-70.00299835205078,62,283.6,
232759,6359,TAPA,9003,148,ASP,1,0,07,17.130199432373047,-61.8036994934082,58,58.4,656,25,17.143199920654297,-61.781700134277344,17,238.4,
232762,5236,OMDM,12970,148,ASP,1,0,09,25.026501,55.3466,165,89,,27,25.027201,55.385799,165,269,
232763,5239,OMSJ,13320,197,ASP,1,0,12,25.338503,55.5048405,92,122,,30,25.32238,55.53261,111,302,984
232764,5226,OMAA,13471,197,ASP,1,0,13R,24.444401,54.635201,82,128,,31L,24.4217,54.667198,88,308,
232765,5231,OMAM,12012,150,ASP,1,0,13R,24.240800857543945,54.53670120239258,60,127,,31L,24.22100067138672,54.56549835205078,60,307,
232766,5231,OMAM,12012,150,ASP,1,0,13L,24.25819969177246,54.53329849243164,77,127,,31R,24.238300323486328,54.56209945678711,67,307,
232768,5235,OMDB,14590,197,ASP,1,0,12R,25.252836227416992,55.364376068115234,11,121,2345,30L,25.235919952392578,55.39488220214844,60,301,433
232769,5235,OMDB,14275,197,ASP,1,0,12L,25.26462745666504,55.35042190551758,11,121,1476,30R,25.247709274291992,55.38093185424805,32,301,984
232770,5237,OMFJ,10007,148,ASP,1,0,11R,25.114336,56.312618,134,112,2296,29L,25.103825,56.340576,49,292,
232771,5238,OMRK,12336,148,ASP,1,0,16,25.62969970703125,55.93389892578125,72,164.8,,34,25.597000122070312,55.94380187988281,102,344.8,
232773,5227,OMAD,10499,150,ASP,1,0,13,24.43720054626465,54.44559860229492,10,128.1,1674,31,24.41939926147461,54.47050094604492,10,308.2,2559
232774,5230,OMAL,13123,148,ASP,1,0,01,24.243799209594727,55.60660171508789,869,7,,19,24.279600143432617,55.611698150634766,842,187,
232777,5069,OAHR,9888,150,ASP,0,0,18,34.22119903564453,62.22999954223633,3206,187,,36,34.19879913330078,62.226600646972656,3133,7,
232778,5075,OAMS,10437,146,CONCRETE AND ASP,1,1,06L,36.70100021362305,67.19349670410156,1278,65.8,535,24R,36.712799072265625,67.22589874267578,1256,245.8,1733
232779,5070,OAIX,11820,151,CON,1,0,03R,34.93470001220703,69.25700378417969,4888,29,,21L,34.957801818847656,69.27310180664062,4895,209,
232780,5073,OAKN,10532,148,ASP,1,0,05,31.497499465942383,65.83390045166016,3303,55,,23,31.513999938964844,65.86170196533203,3337,235,2001
232781,5076,OASD,9140,160,CON,0,0,18,33.403900146484375,62.26169967651367,3773,182.5,,36,33.37879943847656,62.260398864746094,3773,2.5,
232782,5071,OAJL,7262,148,ASP,1,0,13,34.40639877319336,70.4896011352539,1814,131,,31,34.3931999206543,70.50759887695312,1809,311,
232783,5078,OAUZ,6558,148,ASP,0,0,11,36.668800354003906,68.90059661865234,1450,113,,29,36.66170120239258,68.92109680175781,1454,293,
232784,5072,OAKB,11483,164,ASP,1,0,11,34.570499420166016,69.19429779052734,5869,107,80,29,34.56119918823242,69.23049926757812,5872,287,2325
232786,5074,OAMN,5090,76,GVL,0,0,14,35.9364013671875,64.75579833984375,,143.2,,32,35.925201416015625,64.76609802246094,,323.2,
232787,2063,DABT,9843,148,ASP,1,0,05,35.744300842285156,6.29502010345459,2664,54.9,,23,35.7598991394043,6.322159767150879,2700,234.9,
232790,2049,DAAE,7874,148,ASP,1,0,08,36.709999084472656,5.056670188903809,20,80,,26,36.713600158691406,5.083059787750244,10,260,
232791,2060,DABB,9843,148,ASP,1,0,18,36.84510040283203,7.812739849090576,10,186.9,,36,36.81829833984375,7.808700084686279,16,6.9,335
232792,2060,DABB,7513,148,ASP,1,0,05,36.82059860229492,7.8067498207092285,16,51.8,,23,36.83330154418945,7.8267998695373535,10,231.8,
232793,2070,DAON,8530,148,ASP,1,0,07,35.009300231933594,-1.4705899953842163,807,70,,25,35.017398834228516,-1.443809986114502,804,250,
232794,2051,DAAJ,7874,148,ASP,1,0,02,24.273899,9.44399,3140,22,,20,24.294201,9.45259,3163,202,
232795,2051,DAAJ,9843,148,ASP,1,0,13,24.293100357055664,9.451939582824707,3163,125,,31,24.276899337768555,9.476940155029297,3169,305,
232796,2072,DAOR,12245,148,ASP,0,0,06,31.637699127197266,-2.2955400943756104,,60,,24,31.654499053955078,-2.261470079421997,,240,2370
232797,2072,DAOR,9840,148,ASP,0,0,18,31.658899307250977,-2.261229991912842,2661,180,,36,31.631799697875977,-2.2612099647521973,2654,360,
232800,2056,DAAT,11811,148,ASP,1,0,02,22.79640007019043,5.444389820098877,4459,22,,20,22.826499938964844,5.457749843597412,4518,202,
232801,2056,DAAT,10171,148,ASP,1,0,08,22.807301,5.42277,4465,82,,26,22.8113,5.45269,4472,262,
232802,2054,DAAP,9843,148,ASP,1,0,09,26.723600387573242,8.607460021972656,1765,90,,27,26.723400115966797,8.637840270996094,1778,270,
232805,2082,DAUL,12477,148,ASP,0,0,16R,33.77980041503906,2.919260025024414,2510,156.9,,34L,33.748199462890625,2.93533992767334,2510,336.9,
232806,2082,DAUL,12486,148,ASP,1,0,16L,33.78049850463867,2.9213600158691406,,157,,34R,33.749000549316406,2.937429904937744,,337,
232807,2085,DAUU,9843,148,ASP,0,0,01,31.905701,5.40465,492,16,,19,31.931801,5.4134,463,196,
232808,2085,DAUU,10171,148,ASP,0,0,18,31.930099487304688,5.416460037231445,,179,350,36,31.90220069885254,5.417059898376465,,359,
232809,2064,DAFH,9835,148,ASP,0,0,08,32.92789840698242,3.295799970626831,,79.2,,26,32.93299865722656,3.327280044555664,,259.2,
232810,2064,DAFH,4695,100,ASP,0,0,09,32.932098388671875,3.301460027694702,,88.1,280,27,32.932498931884766,3.316740036010742,,268.1,
232811,2069,DAOL,9037,140,ASP,1,0,08,35.539398193359375,-0.5469580292701721,361,75.6,,26,35.545501708984375,-0.5175859928131104,367,255.6,
232812,2068,DAOI,5413,98,ASP,0,0,07,36.209652,1.323303,463,66,,25,36.215473,1.339783,463,246,
232813,2065,DAOB,9843,148,ASP,1,0,08,35.3390998840332,1.4468599557876587,3245,81,,26,35.34320068359375,1.4794299602508545,3202,261,
232814,2075,DAUA,9843,148,ASP,1,0,04,27.827199935913086,-0.19611099362373352,915,40,,22,27.848100662231445,-0.1766670048236847,918,220,
232818,2084,DAUT,9843,148,ASP,0,0,06,29.22920036315918,0.2630560100078583,1024,56,,24,29.244199752807617,0.28888899087905884,1020,236,
232819,2067,DAOF,9840,148,ASP,1,0,08L,27.6984,-8.18221,,76,,26R,27.705099,-8.15279,,256,
232820,2067,DAOF,9840,148,ASP,1,0,08R,27.695601,-8.18143,,76,,26L,27.7024,-8.15197,,256,
232821,2076,DAUB,9469,148,ASP,0,0,13,34.801700592041016,5.726150035858154,285,130,,31,34.785099029541016,5.750470161437988,236,310,
232822,2149,DA14,3550,80,BIT,0,0,05,35.9025993347168,0.14196400344371796,,44,,23,35.90959930419922,0.1502940058708191,,224,70
232823,2149,DA14,2275,100,BIT,0,0,13,35.90950012207031,0.14816400408744812,,126.7,,31,35.905799865722656,0.15431900322437286,,306.7,
232824,2086,DAUZ,9843,148,ASP,1,0,05,28.04509925842285,9.635109901428223,1837,47,,23,28.063600540161133,9.657400131225586,1841,227,
232825,2086,DAUZ,7218,98,ASP,1,0,14,28.069,9.6292,1841,145,,32,28.0527,9.64201,1847,325,
232826,2050,DAAG,11483,197,ASP,1,0,05,36.69390106201172,3.220170021057129,72,53,,23,36.71289825439453,3.2513999938964844,82,233,
232827,2050,DAAG,11483,148,ASP,1,0,09,36.692100524902344,3.170830011367798,56,92,,27,36.691200256347656,3.2099199295043945,82,272,
232828,2061,DABC,7874,148,ASP,1,0,13,36.284401,6.61472,2306,136,,31,36.268902,6.63333,2254,316,
232829,2061,DABC,9843,148,ASP,0,0,16,36.28810119628906,6.610559940338135,2313,159,,34,36.26279830932617,6.622499942779541,2316,339,
232830,2073,DAOS,4868,100,ASP,0,0,10,35.172698974609375,-0.601347029209137,1575,97.7,,28,35.1708984375,-0.5852059721946716,1588,277.7,
